snapshot_date,snapshot_time,security_id,symbol,spot_price,atm_strike,atm_iv,atm_call_iv,atm_put_iv
2026-03-30,15:07:11,4684,SONACOMS,481.0,480.0,2.71250974916327,,2.71250974916327
2026-03-30,15:04:23,4745,BANKINDIA,136.85,137.0,50.40793535373961,,50.40793535373961
2026-03-30,15:06:12,509,MAZDOCK,2062.3,2060.0,27.21799123104571,,27.21799123104571
2026-03-30,15:05:01,5097,ETERNAL,228.67,230.0,65.10806646039441,45.07944861182957,85.13668430895926
2026-03-30,15:05:36,5258,INDUSINDBK,751.9,750.0,39.62155572881269,,39.62155572881269
2026-03-30,15:04:34,526,BPCL,280.85,280.0,26.566244486512304,,26.566244486512304
2026-03-30,15:04:35,547,BRITANNIA,5423.0,5400.0,19.91096579365241,,19.91096579365241
2026-03-30,15:04:15,5900,AXISBANK,1157.6,1160.0,31.954675158584696,31.410718462888987,32.498631854280404
2026-03-30,15:06:20,6364,NATIONALUM,386.1,385.0,20.528663482199697,30.663651662743224,10.393675301656168
2026-03-30,15:06:30,6545,NYKAA,235.2,235.0,38.99763874567661,11.604104541925766,66.39117294942746
2026-03-30,15:06:49,6656,POLICYBZR,1431.4,1440.0,57.74569451857335,34.49598889506889,80.99540014207781
2026-03-30,15:06:38,6705,PAYTM,960.4,960.0,24.28695181437952,12.55322205990952,36.02068156884951
2026-03-30,15:05:03,676,EXIDEIND,287.35,287.5,34.96323905491167,,34.96323905491167
2026-03-30,15:04:43,685,CHOLAFIN,1351.9,1360.0,47.48827657871416,52.19193967712684,42.78461348030147
2026-03-30,15:04:44,694,CIPLA,1225.9,1230.0,49.38183785062903,22.65434404136628,76.1093316598918
2026-03-30,15:05:15,7229,HCLTECH,1337.1,1340.0,3.276054581415186,3.276054581415186,
2026-03-30,15:04:40,760,CGPOWER,653.95,650.0,44.88564473956753,66.6015117238122,23.16977775532287
2026-03-30,15:05:39,7852,INOXWIND,75.51,75.0,28.42769802270725,39.63017891192258,17.225217133491917
2026-03-30,15:07:47,7929,ZYDUSLIFE,869.4,870.0,49.275029638753225,52.41957168524834,46.13048759225811
2026-03-30,15:07:34,8479,TVSMOTOR,3358.6,3360.0,25.20111449934649,30.27997526297877,20.12225373571422
2026-03-30,15:04:59,881,DRREDDY,1252.0,1250.0,3.3018438799247303,,3.3018438799247303
2026-03-30,15:05:00,910,EICHERMOT,6581.0,6600.0,6.662617811665707,6.662617811665707,
2026-03-30,15:05:59,9480,LICI,725.75,725.0,42.39228022188204,,42.39228022188204
2026-03-30,15:06:50,9590,POLYCAB,6856.0,6900.0,19.45787138727705,19.45787138727705,
2026-03-30,15:04:53,9599,DELHIVERY,417.15,415.0,26.12730442945957,33.11126592971101,19.14334292920813
2026-03-30,15:05:56,9683,KPITTECH,634.15,630.0,76.67069440637547,82.77337328580633,70.56801552694462
2026-03-30,15:05:13,9819,HAVELLS,1189.1,1190.0,71.08498565346821,47.30661670803836,94.86335459889808
