timestamp,iv,close,volume,spot
2026-03-17 08:00:00,32.557097,23.9,53900,814.25
2026-03-17 08:15:00,34.308132,24.65,15400,813.7
2026-03-17 08:30:00,33.004421,20.2,74200,816.4
2026-03-17 08:45:00,31.707862,20.0,61600,817.6
2026-03-17 09:00:00,30.790967,20.1,119000,818.9
2026-03-17 09:15:00,30.819043,21.7,29400,821.85
2026-03-17 09:30:00,31.208739,21.85,78400,821.7
2026-03-17 09:45:00,30.065848,20.75,66500,821.0
2026-03-18 03:45:00,29.827846,21.4,192500,823.55
2026-03-18 04:00:00,30.056699,21.5,123200,823.5
2026-03-18 04:15:00,27.702009,19.35,137900,822.2
2026-03-18 04:30:00,28.559767,17.6,115500,818.0
2026-03-18 04:45:00,28.995589,18.35,411600,818.95
2026-03-18 05:00:00,29.89944,19.55,76300,820.2
2026-03-18 05:15:00,29.340935,21.0,74900,823.45
2026-03-18 05:30:00,30.338793,21.25,60900,822.85
2026-03-18 05:45:00,30.152198,19.7,185500,829.8
2026-03-18 06:00:00,30.055688,21.95,394100,834.0
2026-03-18 06:15:00,29.062091,18.2,393400,837.8
2026-03-18 06:30:00,29.840141,19.8,252000,839.95
2026-03-18 06:45:00,30.172067,17.6,248500,835.3
2026-03-18 07:00:00,29.802924,18.5,120400,837.55
2026-03-18 07:15:00,30.120784,18.05,36400,836.3
2026-03-18 07:30:00,30.445738,19.5,104300,838.75
2026-03-18 07:45:00,29.716836,21.1,100800,842.55
2026-03-18 08:00:00,27.869856,17.5,193200,847.55
2026-03-18 08:15:00,28.90191,17.85,135800,847.0
2026-03-18 08:30:00,28.721267,17.05,174300,845.65
2026-03-18 08:45:00,29.422842,17.65,56700,846.0
2026-03-18 09:00:00,28.83246,20.6,135100,842.7
2026-03-18 09:15:00,28.648044,20.2,83300,842.2
2026-03-18 09:30:00,29.573676,20.95,43400,842.55
2026-03-18 09:45:00,28.74003,20.1,105000,841.95
2026-03-19 03:45:00,29.732733,16.7,156100,826.0
2026-03-19 04:00:00,30.306255,18.2,102200,818.75
2026-03-19 04:15:00,30.891014,17.15,226800,816.05
2026-03-19 04:30:00,33.003752,19.35,170800,818.0
2026-03-19 04:45:00,31.452482,18.6,130200,818.3
2026-03-19 05:00:00,30.048811,19.9,95200,822.25
2026-03-19 05:15:00,31.153957,19.95,27300,821.2
2026-03-19 05:30:00,32.63565,20.55,23100,820.75
2026-03-19 05:45:00,31.583884,19.8,21000,820.5
2026-03-19 06:00:00,31.656903,21.4,76300,823.35
2026-03-19 06:15:00,31.867071,20.65,27300,821.8
2026-03-19 06:30:00,32.295405,22.0,14700,823.8
2026-03-19 06:45:00,31.116631,17.0,35700,825.2
2026-03-19 07:00:00,29.614931,18.1,81200,829.1
2026-03-19 07:15:00,30.964573,18.2,35000,827.8
2026-03-19 07:30:00,32.823643,22.15,35000,823.6
2026-03-19 07:45:00,32.281659,22.0,76300,823.9
2026-03-19 08:00:00,31.284151,17.05,33600,825.2
2026-03-19 08:15:00,33.635318,21.15,49000,821.0
2026-03-19 08:30:00,32.509554,18.55,36400,817.3
2026-03-19 08:45:00,32.980878,19.9,56000,819.4
2026-03-19 09:00:00,30.101824,18.4,35000,819.7
2026-03-19 09:15:00,32.76494,22.6,350700,815.0
2026-03-19 09:30:00,33.140231,22.6,86100,814.65
2026-03-19 09:45:00,33.742979,18.55,68600,816.0
2026-03-20 03:45:00,34.202117,20.8,378000,830.8
2026-03-20 04:00:00,33.107552,21.05,231000,832.4
2026-03-20 04:15:00,33.016347,19.45,79100,829.55
2026-03-20 04:30:00,34.608807,22.85,364700,824.6
2026-03-20 04:45:00,32.807081,17.05,66500,825.1
2026-03-20 05:00:00,34.751786,22.85,108500,824.5
2026-03-20 05:15:00,32.573862,19.4,152600,830.0
2026-03-20 05:30:00,32.873346,20.5,116200,831.75
2026-03-20 05:45:00,32.505229,21.85,139300,834.55
2026-03-20 06:00:00,31.637546,16.6,39900,835.15
2026-03-20 06:15:00,32.459141,19.75,71400,830.85
2026-03-20 06:30:00,32.134191,17.65,44100,827.2
2026-03-20 06:45:00,33.821042,19.95,88200,820.3
2026-03-20 07:00:00,33.991545,21.2,111300,822.45
2026-03-20 07:15:00,35.909516,21.45,40600,821.0
2026-03-20 07:30:00,33.441049,20.85,26600,822.4
2026-03-20 07:45:00,34.302058,22.6,53900,824.7
2026-03-20 08:00:00,34.593748,20.75,34300,821.1
2026-03-20 08:15:00,34.518838,19.4,76300,818.65
2026-03-20 08:30:00,34.951192,19.6,105700,818.6
2026-03-20 08:45:00,35.008805,18.75,143500,816.9
2026-03-20 09:00:00,36.004772,22.85,121100,814.05
2026-03-20 09:15:00,33.035799,17.45,59500,816.5
2026-03-20 09:30:00,33.403845,18.35,185500,817.9
2026-03-20 09:45:00,28.063658,16.15,220500,819.3
2026-03-23 03:45:00,36.814516,18.35,46900,801.35
2026-03-23 04:00:00,39.453227,19.7,98700,801.65
2026-03-23 04:15:00,38.331021,20.3,121100,794.1
2026-03-23 04:30:00,43.276962,19.6,49000,788.7
2026-03-23 04:45:00,41.62823,19.0,43400,789.0
2026-03-23 05:00:00,41.083697,17.8,40600,787.15
2026-03-23 05:15:00,44.421225,22.9,18200,784.45
2026-03-23 05:30:00,41.749807,18.55,63000,788.1
2026-03-23 05:45:00,39.809314,18.0,14700,788.75
2026-03-23 06:00:00,42.485966,17.75,14000,785.9
2026-03-23 06:15:00,41.451084,17.25,30800,785.85
2026-03-23 06:30:00,42.820731,17.65,58800,785.45
2026-03-23 06:45:00,41.079394,17.7,1400,787.15
2026-03-23 07:00:00,42.905794,18.2,33600,786.55
2026-03-23 07:15:00,42.827051,18.5,21000,787.25
2026-03-23 07:30:00,42.294452,17.8,15400,786.35
2026-03-23 07:45:00,43.11828,18.55,2800,787.15
2026-03-23 08:00:00,44.16231,19.15,16100,787.45
2026-03-23 08:15:00,43.010972,18.75,40600,787.7
2026-03-23 08:30:00,40.714726,18.2,180600,788.65
2026-03-23 08:45:00,40.765574,17.75,67900,787.75
2026-03-23 09:00:00,42.750021,22.2,93800,784.9
2026-03-23 09:15:00,43.092029,21.55,26600,783.5
2026-03-23 09:30:00,43.79322,19.2,60200,778.55
2026-03-23 09:45:00,40.692356,17.55,91700,778.0
2026-03-24 03:45:00,38.365018,15.7,432600,787.85
2026-03-24 04:00:00,41.16328,18.45,106400,781.35
2026-03-24 04:15:00,40.395577,17.35,192500,779.9
2026-03-24 04:30:00,38.170065,15.95,72100,779.0
2026-03-24 04:45:00,39.525336,14.9,69300,775.8
2026-03-24 05:00:00,41.53265,20.05,55300,774.5
